group_name,description,strategy,pattern,total_requests,success_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
rajomon_baseline,[基线] step策略 + maximal聚合 + priceStep=5 + threshold=2000µs,rajomon,sine,43585,18167,25418,307.84,0.0000,0.5832,15.94,0.00,49.00,62.00,195.00,0.0073,0.2403,1.0000,59.02
rajomon_A1_expdecay,[价格策略] expdecay — 指数衰减抑制震荡，其余参数同基线,rajomon,sine,43951,18085,25866,306.59,0.0000,0.5885,15.17,0.00,48.00,56.00,130.00,0.0079,0.2239,1.0000,58.99
rajomon_B1_additive,[聚合策略] additive累加 — 串行场景，价格压力叠加,rajomon,sine,41165,14893,26272,252.61,0.0000,0.6382,14.46,0.00,49.00,63.00,230.00,0.0133,0.2317,0.8418,58.96
rajomon_B2_mean,[聚合策略] mean平均 — 平滑价格波动，降低峰值冲击,rajomon,sine,44892,20152,24740,341.48,0.0000,0.5511,16.74,0.00,49.00,59.00,114.00,0.0177,0.3263,1.0000,59.01
rajomon_C1_step_tiny,[步长] priceStep=2 — 极小步长，涨价极慢，最大化吞吐,rajomon,sine,46992,25413,21579,430.54,0.0000,0.4592,20.74,23.00,51.00,66.00,101.00,0.0367,0.5801,1.0000,59.03
rajomon_C2_step_medium,[步长] priceStep=12 — 中等步长，平衡吞吐与公平性,rajomon,sine,42673,15294,27379,259.18,0.0000,0.6416,13.03,0.00,47.00,52.00,88.00,0.0030,0.1626,0.9028,59.01
rajomon_C3_step_large,[步长] priceStep=20 — 大步长，快速涨价，强制区分预算,rajomon,sine,38401,5971,32430,101.18,0.0000,0.8445,5.77,0.00,42.00,49.00,78.00,0.0019,0.0719,0.3964,59.01
rajomon_C4_step_extreme,[步长] priceStep=30 — 超大步长，一旦过载即刻拒绝低预算,rajomon,sine,37370,3453,33917,58.59,0.0000,0.9076,3.58,0.00,35.00,48.00,82.00,0.0018,0.0492,0.2250,58.94
rajomon_D1_threshold_strict,[阈值] threshold=500µs — 极严格，轻微排队即触发涨价,rajomon,sine,37326,3157,34169,53.56,0.0000,0.9154,3.28,0.00,33.00,48.00,66.00,0.0052,0.0751,0.1719,58.94
rajomon_D2_threshold_relaxed,[阈值] threshold=5000µs — 宽松，高容忍度，逼近无治理吞吐,rajomon,sine,45861,22347,23514,378.71,0.0000,0.5127,18.36,2.00,50.00,61.00,114.00,0.0279,0.4260,1.0000,59.01
rajomon_D3_threshold_ultra,[阈值] threshold=10000µs — 超宽松，仅极端过载才涨价,rajomon,sine,46868,25059,21809,424.67,0.0000,0.4653,20.51,23.00,51.00,63.00,101.00,0.0652,0.5376,1.0000,59.01
rajomon_E1_update_fast,[频率] 50ms更新 — 快速反应负载变化，减少延迟波动,rajomon,sine,45852,22692,23160,384.47,0.0000,0.5051,18.84,6.00,50.00,64.00,114.00,0.0464,0.4481,1.0000,59.02
rajomon_E2_update_slow,[频率] 300ms更新 — 平滑价格抖动，但反应滞后,rajomon,sine,43575,16988,26587,287.89,0.0000,0.6101,14.12,0.00,47.00,52.00,79.00,0.0163,0.1452,1.0000,59.01
rajomon_F1_skewed_budget,[预算] 90%低预算(10) + 10%高预算(100) — 考验金牌用户保护,rajomon,sine,37965,8837,29128,149.82,0.0000,0.7672,11.08,0.00,59.00,89.00,163.00,0.1462,0.0000,1.0000,58.98
rajomon_F2_gradient_budget,[预算] 五级梯度(5/20/50/100/200) — 测试细粒度价值区分,rajomon,sine,46024,21933,24091,371.61,0.0000,0.5234,17.47,1.00,49.00,56.00,97.00,0.0000,0.9011,1.0000,59.02
rajomon_X1_expdecay_fast,[组合] expdecay + 50ms更新 — 最佳震荡抑制，平滑P95,rajomon,sine,45216,21001,24215,355.83,0.0000,0.5355,17.47,0.00,49.00,60.00,105.00,0.0566,0.3515,0.9879,59.02
rajomon_X2_aggressive,[组合] priceStep=25 + threshold=800µs — 极速涨价，最强保护,rajomon,sine,36150,677,35473,11.48,0.0000,0.9813,0.93,0.00,2.00,34.00,71.00,0.0016,0.0083,0.0469,58.95
rajomon_X3_additive_steep,[组合] additive聚合 + priceStep=15 — 串行链条累加高压,rajomon,sine,42612,14677,27935,248.71,0.0000,0.6556,12.50,0.00,47.00,51.00,96.00,0.0045,0.1696,0.8538,59.01
rajomon_X4_expdecay_additive,[组合] expdecay + additive — 非线性定价与累加聚合,rajomon,sine,44734,19474,25260,330.00,0.0000,0.5647,16.01,0.00,48.00,56.00,97.00,0.0192,0.2865,1.0000,59.01
rajomon_X5_max_throughput,[组合] priceStep=2 + threshold=8000µs — 极限吞吐，接近无治理,rajomon,sine,48219,29735,18484,503.83,0.0000,0.3833,24.91,29.00,56.00,73.00,136.00,0.0997,0.7474,1.0000,59.02
rajomon_X6_advanced,[组合] expdecay + mean聚合 + 极端预算 — 高级综合场景,rajomon,sine,37778,7156,30622,121.28,0.0000,0.8106,8.17,0.00,48.00,75.00,156.00,0.0994,0.0000,1.0000,59.01
