group_name,description,strategy,pattern,total_requests,success_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
rajomon_baseline,[基线] step策略 + maximal聚合 + priceStep=5 + threshold=2000µs,rajomon,step,30603,15428,15175,278.51,0.0000,0.4959,18.49,21.00,49.00,54.00,152.00,0.1388,0.3653,1.0000,55.39
rajomon_A1_expdecay,[价格策略] expdecay — 指数衰减抑制震荡，其余参数同基线,rajomon,step,32344,19052,13292,343.90,0.0000,0.4110,21.77,26.00,49.00,55.00,88.00,0.2370,0.5240,1.0000,55.40
rajomon_B1_additive,[聚合策略] additive累加 — 串行场景，价格压力叠加,rajomon,step,30464,15092,15372,272.83,0.0000,0.5046,18.05,3.00,48.00,53.00,77.00,0.1652,0.3693,0.9519,55.32
rajomon_B2_mean,[聚合策略] mean平均 — 平滑价格波动，降低峰值冲击,rajomon,step,31460,17212,14248,311.22,0.0000,0.4529,20.13,23.00,49.00,54.00,127.00,0.1812,0.4646,1.0000,55.30
rajomon_C1_step_tiny,[步长] priceStep=2 — 极小步长，涨价极慢，最大化吞吐,rajomon,step,32182,19461,12721,351.31,0.0000,0.3953,23.03,27.00,50.00,69.00,189.00,0.2561,0.5482,1.0000,55.40
rajomon_C2_step_medium,[步长] priceStep=12 — 中等步长，平衡吞吐与公平性,rajomon,step,28340,10810,17530,195.15,0.0000,0.6186,13.78,0.00,47.00,50.00,76.00,0.1213,0.3155,0.7023,55.39
rajomon_C3_step_large,[步长] priceStep=20 — 大步长，快速涨价，强制区分预算,rajomon,step,27884,10061,17823,181.54,0.0000,0.6392,13.17,0.00,47.00,51.00,138.00,0.1118,0.3022,0.6698,55.42
rajomon_C4_step_extreme,[步长] priceStep=30 — 超大步长，一旦过载即刻拒绝低预算,rajomon,step,27527,9299,18228,167.87,0.0000,0.6622,12.11,0.00,46.00,50.00,79.00,0.1083,0.3056,0.5977,55.39
rajomon_D1_threshold_strict,[阈值] threshold=500µs — 极严格，轻微排队即触发涨价,rajomon,step,28642,11368,17274,205.25,0.0000,0.6031,14.31,0.00,47.00,50.00,96.00,0.1303,0.3304,0.7291,55.39
rajomon_D2_threshold_relaxed,[阈值] threshold=5000µs — 宽松，高容忍度，逼近无治理吞吐,rajomon,step,32679,19982,12697,360.90,0.0000,0.3885,22.88,27.00,50.00,57.00,135.00,0.2718,0.5645,1.0000,55.37
rajomon_D3_threshold_ultra,[阈值] threshold=10000µs — 超宽松，仅极端过载才涨价,rajomon,step,30594,17105,13489,309.02,0.0000,0.4409,22.04,25.00,53.00,65.00,160.00,0.2370,0.4349,1.0000,55.35
rajomon_E1_update_fast,[频率] 50ms更新 — 快速反应负载变化，减少延迟波动,rajomon,step,29506,14075,15431,254.00,0.0000,0.5230,18.32,0.00,50.00,61.00,165.00,0.1677,0.3973,0.8535,55.41
rajomon_E2_update_slow,[频率] 300ms更新 — 平滑价格抖动，但反应滞后,rajomon,step,28197,11149,17048,201.34,0.0000,0.6046,14.96,0.00,49.00,58.00,101.00,0.1139,0.3542,0.7189,55.37
rajomon_F1_skewed_budget,[预算] 90%低预算(10) + 10%高预算(100) — 考验金牌用户保护,rajomon,step,26163,8509,17654,153.63,0.0000,0.6748,14.09,0.00,51.00,101.00,221.00,0.2506,0.0000,1.0000,55.39
rajomon_F2_gradient_budget,[预算] 五级梯度(5/20/50/100/200) — 测试细粒度价值区分,rajomon,step,29982,14791,15191,266.94,0.0000,0.5067,18.67,2.00,49.00,62.00,139.00,0.0000,0.6145,1.0000,55.41
rajomon_X1_expdecay_fast,[组合] expdecay + 50ms更新 — 最佳震荡抑制，平滑P95,rajomon,step,28222,11432,16790,206.48,0.0000,0.5949,15.62,0.00,49.00,62.00,196.00,0.2059,0.3907,0.6200,55.37
rajomon_X2_aggressive,[组合] priceStep=25 + threshold=800µs — 极速涨价，最强保护,rajomon,step,25126,4922,20204,88.99,0.0000,0.8041,7.27,0.00,44.00,50.00,68.00,0.1034,0.2073,0.2741,55.31
rajomon_X3_additive_steep,[组合] additive聚合 + priceStep=15 — 串行链条累加高压,rajomon,step,27516,9501,18015,171.69,0.0000,0.6547,12.74,0.00,47.00,53.00,96.00,0.1178,0.3057,0.6164,55.34
rajomon_X4_expdecay_additive,[组合] expdecay + additive — 非线性定价与累加聚合,rajomon,step,28344,11294,17050,204.18,0.0000,0.6015,14.88,0.00,48.00,55.00,139.00,0.1338,0.3318,0.7323,55.31
rajomon_X5_max_throughput,[组合] priceStep=2 + threshold=8000µs — 极限吞吐，接近无治理,rajomon,step,30754,19698,11056,355.89,0.0000,0.3595,27.55,31.00,61.00,102.00,230.00,0.2934,0.6259,1.0000,55.35
rajomon_X6_advanced,[组合] expdecay + mean聚合 + 极端预算 — 高级综合场景,rajomon,step,27167,9447,17720,170.67,0.0000,0.6523,13.61,0.00,49.00,66.00,144.00,0.2753,0.0000,1.0000,55.35
