timestamp,request_id,phase,client_budget,latency_ms,status_code,error_code,price,token_usage,rejected,error_msg
1772384089012,2,warmup,100,33,200,0,0,0,false,
1772384089012,3,warmup,50,33,200,0,0,0,false,
1772384089031,1,warmup,10,52,200,0,0,0,false,
1772384089049,5,warmup,100,25,200,0,0,0,false,
1772384089054,4,warmup,10,31,200,0,0,0,false,
1772384089080,6,warmup,100,37,200,0,0,0,false,
1772384089105,7,warmup,100,46,200,0,0,0,false,
1772384089113,9,warmup,50,23,200,0,0,0,false,
1772384089113,8,warmup,10,47,200,0,0,0,false,
1772384089147,11,warmup,100,23,200,0,0,0,false,
1772384089147,12,warmup,50,23,200,0,0,0,false,
1772384089166,10,warmup,10,49,200,0,0,0,false,
1772384089199,14,warmup,50,41,200,0,0,0,false,
1772384089202,15,warmup,10,25,200,0,0,0,false,
1772384089208,13,warmup,10,50,200,0,0,0,false,
1772384089244,16,warmup,100,34,200,0,0,0,false,
1772384089253,18,warmup,50,34,200,0,0,0,false,
1772384089254,17,warmup,100,41,200,0,0,0,false,
1772384089296,19,warmup,10,41,200,0,0,0,false,
1772384089298,21,warmup,10,33,200,0,0,0,false,
1772384089301,20,warmup,100,37,200,0,0,0,false,
1772384089331,22,warmup,100,24,200,0,0,0,false,
1772384089340,23,warmup,50,31,200,0,0,0,false,
1772384089351,24,warmup,50,40,200,0,0,0,false,
1772384089383,26,warmup,10,32,200,0,0,0,false,
1772384089383,25,warmup,10,42,200,0,0,0,false,
1772384089387,27,warmup,100,25,200,0,0,0,false,
1772384089421,29,warmup,50,27,200,0,0,0,false,
1772384089428,28,warmup,50,33,200,0,0,0,false,
1772384089442,30,warmup,50,45,200,0,0,0,false,
1772384089458,31,warmup,10,25,200,0,0,0,false,
1772384089476,32,warmup,50,37,200,0,0,0,false,
1772384089493,33,warmup,50,39,200,0,0,0,false,
1772384089508,34,warmup,100,39,200,0,0,0,false,
1772384089518,35,warmup,10,32,200,0,0,0,false,
1772384089543,36,warmup,100,40,200,0,0,0,false,
1772384089547,37,warmup,50,28,200,0,0,0,false,
1772384089563,38,warmup,50,34,200,0,0,0,false,
1772384089585,39,warmup,100,31,200,0,0,0,false,
1772384089596,41,warmup,50,21,200,0,0,0,false,
1772384089597,40,warmup,50,39,200,0,0,0,false,
1772384089629,43,warmup,100,23,200,0,0,0,false,
1772384089634,42,warmup,50,38,200,0,0,0,false,
1772384089643,44,warmup,50,35,200,0,0,0,false,
1772384089677,45,warmup,100,37,200,0,0,0,false,
1772384089685,46,warmup,100,40,200,0,0,0,false,
1772384089698,47,warmup,10,44,200,0,0,0,false,
1772384089737,48,warmup,50,50,200,0,0,0,false,
1772384089737,49,warmup,100,41,200,0,0,0,false,
1772384089755,50,warmup,100,47,200,0,0,0,false,
1772384089773,52,warmup,100,24,200,0,0,0,false,
1772384089776,51,warmup,50,28,200,0,0,0,false,
1772384089807,53,warmup,10,40,200,0,0,0,false,
1772384089821,55,warmup,50,34,200,0,0,0,false,
1772384089832,54,warmup,10,48,200,0,0,0,false,
1772384089857,56,warmup,100,40,200,0,0,0,false,
1772384089866,57,warmup,10,34,200,0,0,0,false,
1772384089881,58,warmup,10,38,200,0,0,0,false,
1772384089910,59,warmup,10,41,200,0,0,0,false,
1772384089920,61,warmup,100,28,200,0,0,0,false,
1772384089924,60,warmup,50,48,200,0,0,0,false,
1772384089953,62,warmup,10,32,200,0,0,0,false,
1772384089968,64,warmup,50,33,200,0,0,0,false,
1772384089972,63,warmup,100,41,200,0,0,0,false,
1772384089990,65,warmup,100,27,200,0,0,0,false,
1772384090018,67,warmup,100,36,200,0,0,0,false,
1772384090018,66,warmup,100,39,200,0,0,0,false,
1772384090030,68,warmup,100,28,200,0,0,0,false,
1772384090077,71,warmup,10,36,200,0,0,0,false,
1772384090077,69,warmup,100,47,200,0,0,0,false,
1772384090077,70,warmup,50,48,200,0,0,0,false,
1772384090108,72,warmup,100,21,200,0,0,0,false,
1772384090127,73,warmup,10,40,200,0,0,0,false,
1772384090134,74,warmup,10,46,200,0,0,0,false,
1772384090168,75,warmup,100,49,200,0,0,0,false,
1772384090172,76,warmup,50,34,200,0,0,0,false,
1772384090178,77,warmup,10,34,200,0,0,0,false,
1772384090207,79,warmup,100,24,200,0,0,0,false,
1772384090212,78,warmup,100,33,200,0,0,0,false,
1772384090218,80,warmup,50,29,200,0,0,0,false,
1772384090242,81,warmup,50,25,200,0,0,0,false,
1772384090253,83,warmup,100,23,200,0,0,0,false,
1772384090260,82,warmup,10,37,200,0,0,0,false,
1772384090276,84,warmup,100,23,200,0,0,0,false,
1772384090299,85,warmup,10,35,200,0,0,0,false,
1772384090309,87,warmup,50,22,200,0,0,0,false,
1772384090313,86,warmup,100,43,200,0,0,0,false,
1772384090337,88,warmup,100,28,200,0,0,0,false,
1772384090366,89,warmup,10,45,200,0,0,0,false,
1772384090369,90,warmup,10,44,200,0,0,0,false,
1772384090395,91,warmup,10,47,200,0,0,0,false,
1772384090400,92,warmup,50,23,200,0,0,0,false,
1772384090424,93,warmup,50,45,200,0,0,0,false,
1772384090447,94,warmup,10,41,200,0,0,0,false,
1772384090452,95,warmup,50,41,200,0,0,0,false,
1772384090469,96,warmup,10,34,200,0,0,0,false,
1772384090489,98,warmup,10,26,200,0,0,0,false,
1772384090503,99,warmup,10,23,200,0,0,0,false,
1772384090506,97,warmup,50,48,200,0,0,0,false,
1772384090521,100,warmup,100,21,200,0,0,0,false,
1772384090540,101,warmup,10,25,200,0,0,0,false,
1772384090553,102,warmup,10,36,200,0,0,0,false,
1772384090559,103,warmup,10,27,200,0,0,0,false,
1772384090590,104,warmup,10,39,200,0,0,0,false,
1772384090610,105,warmup,50,47,200,0,0,0,false,
1772384090612,106,warmup,100,42,200,0,0,0,false,
1772384090640,107,warmup,100,39,200,0,0,0,false,
1772384090660,109,warmup,100,37,200,0,0,0,false,
1772384090663,108,warmup,50,42,200,0,0,0,false,
1772384090677,110,warmup,10,26,200,0,0,0,false,
1772384090719,111,warmup,10,48,200,0,0,0,false,
1772384090719,112,warmup,50,45,200,0,0,0,false,
1772384090720,113,warmup,50,33,200,0,0,0,false,
1772384090757,116,warmup,50,26,200,0,0,0,false,
1772384090757,114,warmup,100,27,200,0,0,0,false,
1772384090778,115,warmup,50,48,200,0,0,0,false,
