group_name,description,strategy,pattern,total_requests,success_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
rajomon_baseline,[基线] step策略 + maximal聚合 + priceStep=5 + threshold=2000µs,rajomon,step,27527,10803,16724,195.16,0.0000,0.6075,15.84,0.00,52.00,70.74,146.00,0.1381,0.3387,0.6994,55.35
rajomon_baseline,[基线] step策略 + maximal聚合 + priceStep=5 + threshold=2000µs,rajomon,sine,42422,16869,25553,285.94,0.0000,0.6024,16.08,0.00,53.00,70.00,141.00,0.0074,0.1813,1.0000,58.99
rajomon_baseline,[基线] step策略 + maximal聚合 + priceStep=5 + threshold=2000µs,rajomon,poisson,2969,2969,0,49.45,0.0000,0.0000,36.22,36.00,50.00,53.00,91.00,1.0000,1.0000,1.0000,60.04
rajomon_A1_expdecay,[价格策略] expdecay — 指数衰减抑制震荡，其余参数同基线,rajomon,step,26900,8663,18237,156.46,0.0000,0.6780,12.33,0.00,48.00,60.00,148.00,0.0947,0.2990,0.5720,55.37
rajomon_A1_expdecay,[价格策略] expdecay — 指数衰减抑制震荡，其余参数同基线,rajomon,sine,38754,7432,31322,125.96,0.0000,0.8082,7.63,0.00,46.00,57.00,116.00,0.0010,0.0585,0.5177,59.01
rajomon_A1_expdecay,[价格策略] expdecay — 指数衰减抑制震荡，其余参数同基线,rajomon,poisson,2975,2975,0,49.58,0.0000,0.0000,36.08,36.00,49.00,52.00,61.00,1.0000,1.0000,1.0000,60.00
rajomon_B1_additive,[聚合策略] additive累加 — 串行场景，价格压力叠加,rajomon,step,26810,10009,16801,180.68,0.0000,0.6267,15.98,0.00,56.00,79.00,157.00,0.1297,0.3237,0.6621,55.40
rajomon_B1_additive,[聚合策略] additive累加 — 串行场景，价格压力叠加,rajomon,sine,41687,15559,26128,263.63,0.0000,0.6268,15.29,0.00,53.00,71.00,176.00,0.0051,0.1094,1.0000,59.02
rajomon_B1_additive,[聚合策略] additive累加 — 串行场景，价格压力叠加,rajomon,poisson,2870,2870,0,47.84,0.0000,0.0000,35.87,36.00,49.00,51.00,59.00,1.0000,1.0000,1.0000,60.00
rajomon_B2_mean,[聚合策略] mean平均 — 平滑价格波动，降低峰值冲击,rajomon,step,27019,10900,16119,196.72,0.0000,0.5966,17.42,0.00,58.00,81.00,162.00,0.1268,0.3340,0.7504,55.41
rajomon_B2_mean,[聚合策略] mean平均 — 平滑价格波动，降低峰值冲击,rajomon,sine,42315,16608,25707,281.46,0.0000,0.6075,15.86,0.00,53.00,69.00,102.00,0.0063,0.1654,1.0000,59.01
rajomon_B2_mean,[聚合策略] mean平均 — 平滑价格波动，降低峰值冲击,rajomon,poisson,2958,2958,0,49.31,0.0000,0.0000,36.12,36.00,49.00,52.00,97.00,1.0000,1.0000,1.0000,59.98
rajomon_C1_step_tiny,[步长] priceStep=2 — 极小步长，涨价极慢，最大化吞吐,rajomon,step,27098,12040,15058,217.48,0.0000,0.5557,20.11,0.00,64.00,88.00,151.00,0.1734,0.3937,0.7680,55.36
rajomon_C1_step_tiny,[步长] priceStep=2 — 极小步长，涨价极慢，最大化吞吐,rajomon,sine,41680,18647,23033,316.05,0.0000,0.5526,20.29,0.00,65.00,88.00,186.00,0.0148,0.3207,1.0000,59.00
rajomon_C1_step_tiny,[步长] priceStep=2 — 极小步长，涨价极慢，最大化吞吐,rajomon,poisson,2939,2939,0,49.01,0.0000,0.0000,35.96,36.00,49.00,52.00,65.00,1.0000,1.0000,1.0000,59.97
rajomon_C2_step_medium,[步长] priceStep=12 — 中等步长，平衡吞吐与公平性,rajomon,step,27160,9206,17954,166.18,0.0000,0.6610,13.06,0.00,49.00,63.00,111.00,0.1085,0.2984,0.6068,55.40
rajomon_C2_step_medium,[步长] priceStep=12 — 中等步长，平衡吞吐与公平性,rajomon,sine,38121,6495,31626,110.05,0.0000,0.8296,6.88,0.00,45.00,59.00,95.00,0.0044,0.0605,0.4417,59.02
rajomon_C2_step_medium,[步长] priceStep=12 — 中等步长，平衡吞吐与公平性,rajomon,poisson,2819,2819,0,46.98,0.0000,0.0000,36.04,36.00,49.00,52.00,57.00,1.0000,1.0000,1.0000,60.00
