group_name,description,strategy,pattern,total_requests,success_count,rejected_count,throughput_rps,error_rate,rejection_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,budget_10_success_rate,budget_50_success_rate,budget_100_success_rate,duration_seconds
rajomon_baseline,[基线] step策略 + maximal聚合 + priceStep=5 + threshold=2000µs,rajomon,poisson,2961,2961,0,49.34,0.0000,0.0000,35.62,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,60.01
rajomon_A1_expdecay,[价格策略] expdecay — 指数衰减抑制震荡，其余参数同基线,rajomon,poisson,2853,2853,0,47.57,0.0000,0.0000,35.70,36.00,49.00,51.00,57.00,1.0000,1.0000,1.0000,59.98
rajomon_B1_additive,[聚合策略] additive累加 — 串行场景，价格压力叠加,rajomon,poisson,3006,3006,0,50.12,0.0000,0.0000,35.96,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,59.98
rajomon_B2_mean,[聚合策略] mean平均 — 平滑价格波动，降低峰值冲击,rajomon,poisson,2913,2913,0,48.60,0.0000,0.0000,35.99,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,59.94
rajomon_C1_step_tiny,[步长] priceStep=2 — 极小步长，涨价极慢，最大化吞吐,rajomon,poisson,2977,2977,0,49.62,0.0000,0.0000,35.63,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,60.00
rajomon_C2_step_medium,[步长] priceStep=12 — 中等步长，平衡吞吐与公平性,rajomon,poisson,2956,2956,0,49.26,0.0000,0.0000,35.94,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,60.01
rajomon_C3_step_large,[步长] priceStep=20 — 大步长，快速涨价，强制区分预算,rajomon,poisson,2919,2919,0,48.65,0.0000,0.0000,35.96,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,60.01
rajomon_C4_step_extreme,[步长] priceStep=30 — 超大步长，一旦过载即刻拒绝低预算,rajomon,poisson,2901,2901,0,48.33,0.0000,0.0000,35.97,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,60.02
rajomon_D1_threshold_strict,[阈值] threshold=500µs — 极严格，轻微排队即触发涨价,rajomon,poisson,2918,2918,0,48.62,0.0000,0.0000,36.03,36.00,49.00,51.00,64.00,1.0000,1.0000,1.0000,60.01
rajomon_D2_threshold_relaxed,[阈值] threshold=5000µs — 宽松，高容忍度，逼近无治理吞吐,rajomon,poisson,2958,2958,0,49.28,0.0000,0.0000,35.76,36.00,49.00,50.00,54.00,1.0000,1.0000,1.0000,60.02
rajomon_D3_threshold_ultra,[阈值] threshold=10000µs — 超宽松，仅极端过载才涨价,rajomon,poisson,2897,2897,0,48.29,0.0000,0.0000,35.86,36.00,49.00,51.00,59.00,1.0000,1.0000,1.0000,59.99
rajomon_E1_update_fast,[频率] 50ms更新 — 快速反应负载变化，减少延迟波动,rajomon,poisson,2940,2940,0,49.04,0.0000,0.0000,35.65,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,59.96
rajomon_E2_update_slow,[频率] 300ms更新 — 平滑价格抖动，但反应滞后,rajomon,poisson,2850,2850,0,47.49,0.0000,0.0000,35.94,36.00,49.00,50.51,56.00,1.0000,1.0000,1.0000,60.01
rajomon_F1_skewed_budget,[预算] 90%低预算(10) + 10%高预算(100) — 考验金牌用户保护,rajomon,poisson,2932,2932,0,48.86,0.0000,0.0000,35.91,36.00,49.00,51.00,53.00,1.0000,0.0000,1.0000,60.01
rajomon_F2_gradient_budget,[预算] 五级梯度(5/20/50/100/200) — 测试细粒度价值区分,rajomon,poisson,2884,2884,0,48.08,0.0000,0.0000,35.72,36.00,49.00,51.00,58.00,0.0000,1.0000,1.0000,59.98
rajomon_X1_expdecay_fast,[组合] expdecay + 50ms更新 — 最佳震荡抑制，平滑P95,rajomon,poisson,2955,2955,0,49.26,0.0000,0.0000,35.60,35.00,49.00,51.00,56.00,1.0000,1.0000,1.0000,59.99
rajomon_X2_aggressive,[组合] priceStep=25 + threshold=800µs — 极速涨价，最强保护,rajomon,poisson,2906,2906,0,48.38,0.0000,0.0000,35.99,36.00,49.00,51.00,62.00,1.0000,1.0000,1.0000,60.06
rajomon_X3_additive_steep,[组合] additive聚合 + priceStep=15 — 串行链条累加高压,rajomon,poisson,2998,2998,0,49.95,0.0000,0.0000,35.95,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,60.02
rajomon_X4_expdecay_additive,[组合] expdecay + additive — 非线性定价与累加聚合,rajomon,poisson,2839,2839,0,47.34,0.0000,0.0000,35.81,36.00,49.00,51.00,55.00,1.0000,1.0000,1.0000,59.97
rajomon_X5_max_throughput,[组合] priceStep=2 + threshold=8000µs — 极限吞吐，接近无治理,rajomon,poisson,2938,2938,0,48.95,0.0000,0.0000,35.29,35.00,49.00,51.00,53.00,1.0000,1.0000,1.0000,60.02
rajomon_X6_advanced,[组合] expdecay + mean聚合 + 极端预算 — 高级综合场景,rajomon,poisson,3131,3131,0,52.21,0.0000,0.0000,35.78,36.00,49.00,51.00,54.00,1.0000,0.0000,1.0000,59.97
